Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Bio,Artist Alpha Sort,Object Date,City,Country,Classification,Link Resource,Tags
681149,The Libraries,2009.0,,Bibliorum Sacrorum Vulgatae versionis,,Printer|Author,"French, 1730–1804|American, 1790–1861","Didot, François Ambroise|Gibbs, Josiah W. (Josiah Willard)",1785,Paris,France,,http://www.metmuseum.org/art/collection/search/681149,
9569,The American Wing,1926.0,Vase,Vase,Dutch,Designer|Manufacturer,"Dutch, active 1739–1775| ","Brouwer, Justus|Porcelain, Axe The",1739–75,Delft,Netherlands,,http://www.metmuseum.org/art/collection/search/9569,Flowers
3195,The American Wing,1969.0,Dinner plate,Dinner Plate,American,Maker,1863–1922,Union Porcelain Works ,1885,Brooklyn,United States,,http://www.metmuseum.org/art/collection/search/3195,
336398,Drawings and Prints,1926.0,Book,Madrigaux,,Artist|Author|Publisher,"French, Le Havre 1877–1953 Forcalquier|French, 1842–1898|French","Dufy, Raoul|Mallarmé, Stéphane|Editions de la Sirene, Collection des Tractes",1920,Paris,,Books,http://www.metmuseum.org/art/collection/search/336398,
729220,Drawings and Prints,1991.0,Book Prints Ornament & Architecture,"Nouvelles Compositions Décoratives, 1re Série, Pl. 47",,Author|Designer|Publisher,"French|French, active 1920–30s|French","Rémon, Georges|Gladky, Serge|Moreau, Charles Editions d'Art",[ca. 1930],Paris,,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/729220,
346493,Drawings and Prints,1938.0,Book ; Ornament and architecture,Book of Designs [for Ironwork],,Designer|Designer|Publisher,"British, active ca. 1793|British, active 18th century|British, active London 1760s","Bottomley, J.|Welldon, J. & W.|Webley, Henry",1765 and 1793,London,,Books|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/346493,Architecture
371443,Drawings and Prints,1941.0,Book ; Ornament and architecture,"Architecture generale de Vitruve reduite en abregé, par M. Perrault de l'Academie des Sciences à Paris. Dernier edition enrichie de figures en cuivre",,Author|Publisher|Translator|Printer|Patron,"Roman, active late 1st century BCE| |French, 1613–1688|Netherlandish|Netherlandish","Vitruvius, Marcus|Gallet, George|Perrault, Claude|Les Huguetans|Graft, Keyser",1691,Amsterdam,,Books|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/371443,
19818,The American Wing,2008.0,Quilt,Floral Applique Quilt,American,Artist,1820–1887,"Ludington, Emeline Travis",ca. 1850,Carmel,United States,,http://www.metmuseum.org/art/collection/search/19818,Flowers
661869,Drawings and Prints,1918.0,Books Prints Ornament & Architecture,"Corona delle Nobili et Virtuose Donne: Libro I-IV, page 58 (verso)",,Publisher,"Italian, Pieve di Cadore 1521–1601 Venice","Vecellio, Cesare",1601,Venice,,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/661869,
6950,The American Wing,1946.0,Salt caster,Salt Caster,American,Maker,ca. 1870–1890,Richards and Hartley Flint Glass Co. ,ca. 1888,Tarentum,United States,,http://www.metmuseum.org/art/collection/search/6950,
9827,The American Wing,1953.0,Window Stool,Window Stool,American,Maker,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York","Phyfe, Duncan",1805–15,New York,United States,,http://www.metmuseum.org/art/collection/search/9827,
350239,Drawings and Prints,1935.0,Book,Mois de Marie. Composé et Orné. . .Avec Prières,,Artist|Publisher, | ,"Gallais, E. Lepelle de Bois|Gruel et Engelmann",1856,Paris,,Books,http://www.metmuseum.org/art/collection/search/350239,
7616,The American Wing,1969.0,Soup bowl,Soup Bowl,American,Maker,1863–1922,Union Porcelain Works ,1885,Brooklyn,United States,,http://www.metmuseum.org/art/collection/search/7616,
357612,Drawings and Prints,1950.0,Book ; Ornament and architecture,Designs for Ornamental Glass,,Author|Lithographer,London|London,Stock & Sharp|Martin and Hood,[1847] (?),London,,Books|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/357612,
503577,Musical Instruments,2003,Cornet Omnitonique,Cornet Omnitonique,French,Maker,"French, Paris active 1845–84",Gautrot aîné,1847,Paris,France,Aerophone-Lip Vibrated-horn,http://www.metmuseum.org/art/collection/search/503577,
356051,Drawings and Prints,1935.0,Book,"Relation De ce qui s'est passé devant et dans la Negotiation de la Paix à Rysvic, avec pieces authentiques, 2 vols.",,Publisher,"Netherlandish, late 17th century",Boucquet,1697,The Hague,,Books,http://www.metmuseum.org/art/collection/search/356051,
889451,Drawings and Prints,1954,Print ; ephemera,"Invitation to a Celebration of the Completion of the Erie Canal, November 4, 1825",,Printer|Author,"American, active 1824–32| ","Durand, A. B. & C. Wright & Co|Corporation of the City of New York",1825,New York,,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/889451,
