Object ID,Is Public Domain,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Name,Artist Display Bio,Object Date,Object Begin Date,Credit Line,City,Classification,Link Resource,Tags
1900,True,The American Wing,1960.0,Side Chair,Side Chair,American,Maker,Duncan Phyfe,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York",1791–1818,1791,"Gift of C. Ruxton Love Jr., 1960",New York,,http://www.metmuseum.org/art/collection/search/1900,
503396,True,Musical Instruments,1990,Division Viol,Division Viol,British,Maker,Barak Norman,"British, 1651–1724 London",1692,1692,"Purchase, Clara Mertens Bequest, in memory of André Mertens, 1990",London,Chordophone-Lute-bowed-fretted,http://www.metmuseum.org/art/collection/search/503396,
690121,False,Drawings and Prints,1952.0,Print,"Ancien Arc de Triomphe bâti par Auguste à Rimini, from Recueil de divers Monumens Anciens répandus en plusieurs endroits de L'Italie",,Artist|Publisher|Printer|Etcher,Jean Barbault|Bouchard & Gravier|Giunchi Heritiers de Komarek|Dominico Montagu,"French, Viarmes 1718–1762 Rome|Rome| |Italian, active Rome, ca. 1750–76",1770,1770,"Rogers Fund, 1952",Rome,Prints,http://www.metmuseum.org/art/collection/search/690121,
693151,True,Drawings and Prints,1978.0,Print,The Dismissed Servant,,Publisher|Artist|Artist,Louis Surugue|Etienne Jeaurat|Jean-Joseph Baléchou,"French, Paris ca. 1686–1762 Grand Vaux|French, Vermenton 1699–1789 Versailles|French, Arles 1716–1764 Avignon",ca. 1749,1744,"Gift of Jayne Wrightsman, 1978",Berlin,Prints,http://www.metmuseum.org/art/collection/search/693151,Women|Servants
7181,True,The American Wing,1946.0,Sauce dish,Hobnail Sauce Dish,American,Maker,"Hobbs, Brockunier and Company",1863–1891,after 1886,1887,"Gift of Mrs. Emily Winthrop Miles, 1946",Wheeling,,http://www.metmuseum.org/art/collection/search/7181,
898800,False,Drawings and Prints,1941,Book,Livery (catalogue),,Author,"Rogers, Peet & Company","American, founded 1874",1909,1909,"Gift of William Brewster, 1941",New Haven,Books,http://www.metmuseum.org/art/collection/search/898800,
660659,true,Drawings and Prints,1921.0,Books Prints Ornament & Architecture,"Splendore delle virtuose giovani, page 9 (verso)",,Designer|Publisher,Iseppo Foresto|Jeronimo Calepino,"Italian, active Venice, 1557|",1564,1564,"Rogers Fund, 1921",Venice,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/660659,Flowers|Vines
681512,True,Drawings and Prints,1933.0,Books Prints Ornament & Architecture,Modelbuch aller Art Nehens vn Stickens (Page 3v),,Publisher,Christian Egenolff,"German, Hadamar 1502–1555 Frankfurt",1535,1535,"Harris Brisbane Dick Fund, 1933",Frankfurt am Main,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/681512,Ornament
708926,False,"Arts of Africa, Oceania, and the Americas",2015.0,Photograph,"Woman outdoors – Ewe kente skirt, headtie and blouse",,Photographer,Alex Agbaglo Acolatse,"Togolese, Kedzi 1880–1975 Lomé",1975,1975,"Gift of Susan Mullin Vogel, 2015",Lomé,Photographs,http://www.metmuseum.org/art/collection/search/708926,Portraits|Women
377561,False,Drawings and Prints,1985.0,Print,Advertising Card for a Wall-mounted Candleholder and Shade: No. 46 Daniel Boone,,Publisher,Charles Rohlfs,"American, Brooklyn, New York 1853–1936 Buffalo, New York",1907,1907,"Gift of Robert Judson Clark, 1985",Buffalo,Prints,http://www.metmuseum.org/art/collection/search/377561,Lighting|Advertisements
